"r0","num_infected_seeds","hosp_probability_factor","cnt_reduction_workplace","cnt_reduction_other","compliance_delay_workplace","compliance_delay_other","doubling_time_baseline","pareto_num","q_selection","num_df_loglike","run_info","config_id_single"
3.43526,237,0.390435512059983,0.827492758717779,0.833042148302039,6,7,3.09149898415686,1,0.21,500,"20201031_132800_param4_d73_05k_n10","3.43526_237_0.390435512059983_0.827492758717779_0.833042148302039_6_7"
3.43665,258,0.419304897497743,0.92665970947131,0.823407216595677,5,7,3.10621431780282,2,0.21,500,"20201031_132800_param4_d73_05k_n10","3.43526_237_0.390435512059983_0.827492758717779_0.833042148302039_6_7"
3.44141,260,0.353297391759492,0.920092392646843,0.82388141471786,7,6,3.09893227626531,3,0.21,500,"20201031_132800_param4_d73_05k_n10","3.43526_237_0.390435512059983_0.827492758717779_0.833042148302039_6_7"
3.44325,276,0.451426412615795,0.701835933503853,0.871277726441594,7,5,3.09116653962765,4,0.21,500,"20201031_132800_param4_d73_05k_n10","3.43526_237_0.390435512059983_0.827492758717779_0.833042148302039_6_7"
3.44764,273,0.383048754868321,0.928169609419987,0.811079080444938,5,6,3.09828562070746,5,0.21,500,"20201031_132800_param4_d73_05k_n10","3.43526_237_0.390435512059983_0.827492758717779_0.833042148302039_6_7"
3.44948,299,0.380970467717536,0.880870516888164,0.839643292929907,6,5,3.10465951475006,6,0.21,500,"20201031_132800_param4_d73_05k_n10","3.43526_237_0.390435512059983_0.827492758717779_0.833042148302039_6_7"
3.45568,289,0.38493473256303,0.913210368155246,0.846839419811117,7,6,3.0888241015632,7,0.21,500,"20201031_132800_param4_d73_05k_n10","3.43526_237_0.390435512059983_0.827492758717779_0.833042148302039_6_7"
3.45682,254,0.432429819618911,0.78608579637331,0.857112844033223,7,5,3.09339152677185,8,0.21,500,"20201031_132800_param4_d73_05k_n10","3.43526_237_0.390435512059983_0.827492758717779_0.833042148302039_6_7"
3.45733,250,0.447079628244434,0.898858816303075,0.835406738005541,7,6,3.08947328182316,9,0.21,500,"20201031_132800_param4_d73_05k_n10","3.43526_237_0.390435512059983_0.827492758717779_0.833042148302039_6_7"
3.45754,251,0.392085882091895,0.748243934130925,0.855985053945561,5,7,3.08385566824088,10,0.21,500,"20201031_132800_param4_d73_05k_n10","3.43526_237_0.390435512059983_0.827492758717779_0.833042148302039_6_7"
3.46238,280,0.415454794613272,0.897096493883151,0.825816671406529,7,5,3.09283586042278,11,0.21,500,"20201031_132800_param4_d73_05k_n10","3.43526_237_0.390435512059983_0.827492758717779_0.833042148302039_6_7"
