"r0","num_infected_seeds","hosp_probability_factor","cnt_reduction_workplace","cnt_reduction_other","compliance_delay_workplace","compliance_delay_other","doubling_time_baseline","pareto_num","q_selection","num_df_loglike","run_info","config_id_single"
3.38938,272,0.335652756142975,0.869706134062358,0.852341256352724,6,6,3.11197920173297,1,0.21,500,"20201031_132751_param4_child_d73_05k_n10","3.39682_259_0.332518481426276_0.867022402520576_0.841525701103057_6_6"
3.39682,259,0.332518481426276,0.867022402520576,0.841525701103057,6,6,3.11377055768676,2,0.21,500,"20201031_132751_param4_child_d73_05k_n10","3.39682_259_0.332518481426276_0.867022402520576_0.841525701103057_6_6"
3.39721,268,0.347899591728928,0.844276997091519,0.854710117035522,5,6,3.10695540048073,3,0.21,500,"20201031_132751_param4_child_d73_05k_n10","3.39682_259_0.332518481426276_0.867022402520576_0.841525701103057_6_6"
3.40026,237,0.334340361993322,0.795915018757996,0.847658591780742,6,6,3.10429045645333,4,0.21,500,"20201031_132751_param4_child_d73_05k_n10","3.39682_259_0.332518481426276_0.867022402520576_0.841525701103057_6_6"
3.40217,238,0.341414966778364,0.745414155504755,0.84244257378052,5,6,3.09948860190445,5,0.21,500,"20201031_132751_param4_child_d73_05k_n10","3.39682_259_0.332518481426276_0.867022402520576_0.841525701103057_6_6"
3.40271,258,0.365994683157508,0.818128388522877,0.847481552752946,6,5,3.1029244949915,6,0.21,500,"20201031_132751_param4_child_d73_05k_n10","3.39682_259_0.332518481426276_0.867022402520576_0.841525701103057_6_6"
3.41561,238,0.385758614609642,0.82225049566071,0.853890506353765,5,6,3.09558935921169,7,0.21,500,"20201031_132751_param4_child_d73_05k_n10","3.39682_259_0.332518481426276_0.867022402520576_0.841525701103057_6_6"
3.41697,238,0.313377592138131,0.856912205771855,0.838440494049946,7,6,3.09698133651596,8,0.21,500,"20201031_132751_param4_child_d73_05k_n10","3.39682_259_0.332518481426276_0.867022402520576_0.841525701103057_6_6"
3.42069,236,0.339971753784032,0.808181832726602,0.837864525883971,6,5,3.09432968517231,9,0.21,500,"20201031_132751_param4_child_d73_05k_n10","3.39682_259_0.332518481426276_0.867022402520576_0.841525701103057_6_6"
3.42738,268,0.328211207974292,0.889597586259157,0.832349014346721,5,5,3.0846768909053,10,0.21,500,"20201031_132751_param4_child_d73_05k_n10","3.39682_259_0.332518481426276_0.867022402520576_0.841525701103057_6_6"
